epoch,train_loss,val_loss,psnr,ssim,lr
1,24.294053962410135,10.532372015493888,24.479132100894553,0.7882822510968405,0.0001
2,20.08618532816569,9.8409072999601,24.914396741114995,0.8019435623247619,0.0001
3,18.900625011100566,9.652243583290666,25.045416625673163,0.805214867633619,0.0001
4,17.97928575200419,9.558499071333143,25.125447275754002,0.8054795070347167,0.0001
5,17.09199417227058,9.455016043451097,25.188070562280743,0.8066622492550943,0.0001
6,16.266910775117978,9.536028031949643,25.131037506844432,0.8054717497540087,0.0001
7,15.529595038070473,9.663341217570835,24.960742943997225,0.8031764415826478,0.0001
8,14.894684004911813,9.50551818035267,25.134345834685238,0.8048336644444041,0.0001
9,14.313651026320715,9.69937210612827,24.975606114657474,0.8010021574586779,0.0001
10,13.77546412021883,9.744674214610347,24.944775982013773,0.7990646699806364,0.0001
Best epoch5,17.09199417227058,9.455016043451097,25.188070562280743,0.8066622492550943,0.0001
