epoch,train_loss,val_loss,psnr,ssim,lr
1,31.16328519236657,22.91281442288999,18.6843352973295,0.3686177755538218,0.0001
2,19.1604767353304,23.719270432436907,18.301727250436937,0.3684171449841268,0.0001
3,15.172395382388945,26.891279582624083,17.37769429323585,0.32052366829330087,0.0001
4,13.487409585522068,27.983508781150537,17.100601549799404,0.2924169116124688,0.0001
5,12.416354378961747,28.59683382952655,16.949618983992124,0.2864584676902926,0.0001
6,11.716284593459099,28.8574532756099,16.838729045815374,0.2877453797249362,0.0001
7,11.165583867796006,30.06061824162801,16.566923157156854,0.27846680795578954,0.0001
8,10.67333701349074,29.95531314390677,16.58839306419379,0.277903326007245,0.0001
9,10.261530696576642,29.40187614935416,16.708925425446964,0.2864857104744156,0.0001
10,9.911608416803421,30.30427713747378,16.510506969984718,0.2726857470505312,0.0001
Best epoch1,31.16328519236657,22.91281442288999,18.6843352973295,0.3686177755538218,0.0001
