epoch,train_loss,val_loss,psnr,ssim,lr
1,25.966928958892822,10.786473075548807,24.334763440254765,0.7834248772068302,0.0001
2,21.058251333236694,10.069821733015555,24.74803311984196,0.7959019763981082,0.0001
3,19.944660462871674,9.746059642897713,24.971355911708823,0.8019736803349602,0.0001
4,19.24092241641014,9.552649701083148,25.150189968770935,0.8051417222236099,0.0001
5,18.636668170652083,9.448291200178641,25.19230012542653,0.8078453285735446,0.0001
6,18.092114381636343,9.373502099955523,25.20608610282969,0.8098721965474133,0.0001
7,17.535994931959337,9.348955070530927,25.244690280148735,0.8103894305543231,0.0001
8,16.98837942154177,9.236499185915347,25.332133009807016,0.8123648078906996,0.0001
9,16.453942960308446,9.208089108820316,25.382219512359754,0.8127897593803911,0.0001
10,15.929196548461913,9.245076735814413,25.349818758461037,0.8133478668275947,0.0001
Best epoch9,16.453942960308446,9.208089108820316,25.382219512359754,0.8127897593803911,0.0001
