epoch,train_loss,val_loss,psnr,ssim,lr
1,25.963296937173414,10.76911081649639,24.34572321764315,0.7834289262019541,0.0001
2,21.046566747080895,10.066128002272713,24.7501457813692,0.7963603270086004,0.0001
3,19.937370043416177,9.733348109104016,24.974922515099205,0.8024017664289743,0.0001
4,19.244216579006565,9.551778254685578,25.140347063382993,0.8048209839269853,0.0001
5,18.643086129619228,9.445116546418932,25.20325669413171,0.8083889451408475,0.0001
6,18.097481582241674,9.367777970102098,25.204842630320627,0.8101176051233516,0.0001
7,17.531092732952487,9.383808935130084,25.2188908826675,0.8103373177381425,0.0001
8,16.97901042276813,9.227027870990613,25.339360445239528,0.8122671750570424,0.0001
9,16.424229107364532,9.247319093456975,25.354505948573753,0.8127730256714755,0.0001
10,15.91511140638782,9.301395548714531,25.291235838957533,0.8125117198719869,0.0001
Best epoch9,16.424229107364532,9.247319093456975,25.354505948573753,0.8127730256714755,0.0001
